"title","is_cancer"
"Processing, subcellular localization, and function of 519 (granulysin), a human late T cell activation molecule with homology to small, lytic, granule proteins.",true
"The HLA system, antigen processing and presentation.",true
"Metallomacrocycles that incorporate cofacially aligned diimide units.",true
"The bio-barcode assay for the detection of protein and nucleic acid targets using DTT-induced ligand exchange.",true
"New insights into mechanisms of allograft rejection.",true
"Draft Genome Sequence Determination for Cystic Fibrosis and Chronic Granulomatous Disease Burkholderia multivorans Isolates.",true
"Spontaneous formation of heteroligated PtII complexes with chelating hemilabile ligands.",true
"HLA-derived peptides as novel immunosuppressives.",true
"Acute myeloid leukemia presenting with panhypopituitarism or diabetes insipidus: a case series with molecular genetic analysis and review of the literature.",true
"High-Throughput Determination of Octanol-Water Partition Coefficients by Ultrasound-Assisted Liquid-Phase Microextraction.",true
"Granulysin, a new human cytolytic granule-associated protein with possible involvement in cell-mediated cytotoxicity.",true
"A gold-nanoparticle-based real-time colorimetric screening method for endonuclease activity and inhibition.",true
"A ""molecular eraser"" for dip-pen nanolithography.",true
"Decreased Calpain activity in chronic myeloid leukemia impairs apoptosis by increasing Survivin in myeloid progenitors and xiap1 in differentiating granulocytes.",true
"SCID mouse models: more than furry flasks.",true
"Rings of single-walled carbon nanotubes: molecular-template directed assembly and Monte Carlo modeling.",true
"pH-switchable silver nanoprism growth pathways.",true
"Gene expression of RANTES.",true
"Sub-5-nm gaps prepared by on-wire lithography: correlating gap size with electrical transport.",true
"Massively parallel dip-pen nanolithography of heterogeneous supported phospholipid multilayer patterns.",true
"Expression of chemokine RANTES and production of monoclonal antibodies.",true
"A fluorophore-based bio-barcode amplification assay for proteins.",true
"Large-scale assembly of single-crystal silver nanoprism monolayers.",true
"Methods for fabricating microarrays of motile bacteria.",true
"Switching gears during T-cell maturation: RANTES and late transcription.",true
"Association between Elder Abuse and Metabolic Syndromes: Findings from the Chicago Health and Aging Project.",true
"Inhibition of cell cycle progression by a synthetic peptide corresponding to residues 65-79 of an HLA class II sequence: functional similarities but mechanistic differences with the immunosuppressive drug rapamycin.",true
"Does Performance Vary Within the Same Hospital When Separately Examining Different Patient Subgroups?",true
"Sub-100 nm, centimeter-scale, parallel dip-pen nanolithography.",true
"Chemokines, lymphocytes and viruses: what goes around, comes around.",true
"Chemical structure-guided design of dynapyrazoles, potent cell-permeable dynein inhibitors with a unique mode of action.",true
"Chronic bacterial prostatitis and chronic pelvic pain syndrome.",true
"Top-down meets bottom-up: dip-pen nanolithography and DNA-directed assembly of nanoscale electrical circuits.",true
"A Phase II Study of Alemtuzumab-Rituximab Therapy in Previously Untreated Patients with Chronic Lymphocytic Leukemia: Short and Long-term Outcomes.",true
"Microtubule-Based Transport and the Distribution, Tethering, and Organization of Organelles.",true
"Granulysin-induced apoptosis. I. Involvement of at least two distinct pathways.",true
"Phantom Rectum Following Abdominoperineal Resection for Rectal Neoplasm: Appearance and Disappearance.",true
"The beginning of a small revolution.",true
"Moonlighting Motors: Kinesin, Dynein, and Cell Polarity.",true
"An antimicrobial activity of cytolytic T cells mediated by granulysin.",true
"Glass-bead-based parallel detection of DNA using composite Raman labels.",true
"Photoinduced phase separation of gold in two-component nanoparticles.",true
"Maximizing DNA loading on a range of gold nanoparticle sizes.",true
"Mechanisms of Change in Diet and Activity in the Make Better Choices 1 Trial.",true
"Enhanced detection of malignant lymphoma in cerebrospinal fluid by multiparameter flow cytometry.",true
"Screening for Recurrence and Secondary Cancers.",true
"Supramolecular allosteric cofacial porphyrin complexes.",true
"Ex-vivo expansion of CFU-GM and BFU-E in unselected PBMC cultures with Flt3L is enhanced by autologous plasma.",true
"Attachment of motile bacterial cells to prealigned holed microarrays.",true
"A bio-barcode assay for on-chip attomolar-sensitivity protein detection.",true
"nuID: a universal naming scheme of oligonucleotides for illumina, affymetrix, and other microarrays.",true
"DPN-generated nanostructures as positive resists for preparing lithographic masters or hole arrays.",true
"Pan B-cell markers are not redundant in analysis of chronic lymphocytic leukemia (CLL).",true
"Tetrametallic rectangular box complexes assembled from heteroligated macrocycles.",true
"Giant axonal neuropathy alters the structure of keratin intermediate filaments in human hair.",true
"Dip-pen nanolithography of high-melting-temperature molecules.",true
"Massively parallel dip-pen nanolithography with 55 000-pen two-dimensional arrays.",true
"Localized surface plasmon resonance spectroscopy of single silver triangular nanoprisms.",true
"The molecular architecture of lamins in somatic cells.",true
"Separation of tricomponent protein mixtures with triblock nanorods.",true
"Thermal ablation of colorectal liver metastases: a position paper by an international panel of ablation experts, the interventional oncology sans frontieres meeting 2013.",true
"Designing, fabricating, and imaging Raman hot spots.",true
"Metformin inhibits mitochondrial complex I of cancer cells to reduce tumorigenesis.",true
"Ion exchange as a way of controlling the chemical compositions of nano- and microparticles made from infinite coordination polymers.",true
"On the structure and desorption dynamics of DNA bases adsorbed on gold: a temperature-programmed study.",true
"Asymmetric functionalization of gold nanoparticles with oligonucleotides.",true
"Multiplexed detection of protein cancer markers with biobarcoded nanoparticle probes.",true
"""Boldness be my friend"" (Shakespeare; Cymbeline).",true
"Oligonucleotide-modified gold nanoparticles for intracellular gene regulation.",true
"A real-time PCR-based method for determining the surface coverage of thiol-capped oligonucleotides bound onto gold nanoparticles.",true
"Subclinical Synovitis Assessed by Ultrasound Predicts Flare and Progressive Bone Erosion in Rheumatoid Arthritis Patients with Clinical Remission: A Systematic Review and Metaanalysis.",true
"A gold nanoparticle based approach for screening triplex DNA binders.",true
"Chiari I malformation associated with atlanto-occipital assimilation presenting as orthopnea and cough syncope: a case report and review of literature.",true
"Multiplexed DNA detection with biobarcoded nanoparticle probes.",true
"Multisegmented one-dimensional nanorods prepared by hard-template synthetic methods.",true
"Multifunctional polymeric nanoparticles from diverse bioactive agents.",true
"Atopic dermatitis, atopic eczema or eczema? A systematic review, meta-analysis and recommendation for uniform use of ""atopic dermatitis"".",true
"Colorimetric screening of DNA-binding molecules with gold nanoparticle probes.",true
"Multipole plasmon resonances in gold nanorods.",true
"Nanotechnologies for biomolecular detection and medical diagnostics.",true
"Pseudo-allosteric recognition of mandelic acid with an enantioselective coordination complex.",true
"A bio-bar-code assay based upon dithiothreitol-induced oligonucleotide release.",true
"Three-layer composite magnetic nanoparticle probes for DNA.",true
"Maternal Leptin Predicts Adiposity of the Neonate.",true
"Gold nanoparticle probes for the detection of nucleic acid targets.",true
"A thermodynamic investigation into the binding properties of DNA functionalized gold nanoparticle probes and molecular fluorophore probes.",true
"Self-assembly of biomolecular soft matter.",true
"Nanoarrays of single virus particles.",true
"G-quartet-induced nanoparticle assembly.",true
"Drug repurposing in pediatrics and pediatric hematology oncology.",true
"Sacrificial biological templates for the formation of nanostructured metallic microshells.",true
"A modular microfluidic architecture for integrated biochemical analysis.",true
"Plasmon coupling measures up.",true
"Frontline Therapy for Classical Hodgkin Lymphoma by Stage and Prognostic Factors.",true
"Cyclopentane-modified PNA improves the sensitivity of nanoparticle-based scanometric DNA detection.",true
"Nanostructures in biodiagnostics.",true
"Genetic and Functional Drivers of Diffuse Large B Cell Lymphoma.",true
"Proteostasis and longevity: when does aging really begin?",true
"The controlled evolution of a polymer single crystal.",true
"Nanoparticle-based detection in cerebral spinal fluid of a soluble pathogenic biomarker for Alzheimer's disease.",true
"Expression of Wilms tumor gene in high risk neuroblastoma: complementary marker to tyrosine hydroxylase for detection of minimal residual disease.",true
"Rb1 suppression is responsible for acquired cdk4/6 inhibitor resistance in glioblastoma.",true
"An overview of the mTOR pathway as a target in cancer therapy.",true
"Polymer-DNA hybrids as electrochemical probes for the detection of DNA.",true
"Nanostructures in biodefense and molecular diagnostics.",true
"E2F and microRNA regulation of angiogenesis.",true
"High interstitial fluid pressure regulates tumor growth and drug uptake in human glioblastoma.",true
"Reversibly addressing an allosteric catalyst in situ: catalytic molecular tweezers.",true
"Biologically-based therapeutics for the treatment of diffuse intrinsic pontine gliomas.",true
"Resveratrol enhances the suppressive effects of arsenic trioxide on primitive leukemic progenitors.",true
"Outcomes in adolescents and young adults with Hodgkin lymphoma treated on US cooperative group protocols: An adult intergroup (E2496) and Children's Oncology Group (COG AHOD0031) comparative analysis.",true
"Control of nanoparticle assembly by using DNA-modified diatom templates.",true
"Intermediate filaments: not so tough after all.",true
"Strategies for Management of Relapsed or Refractory Hodgkin Lymphoma.",true
"Bio-bar-code-based DNA detection with PCR-like sensitivity.",true
"Bioactive protein nanoarrays on nickel oxide surfaces formed by dip-pen nanolithography.",true
"The role of IDO in brain tumor immunotherapy.",true
"Usefulness of complement activation products in Chinese patients with systemic lupus erythematosus.",true
"Tyrosine kinase inhibition in Acute Myeloid Leukemia.",true
"University of Chicago phase II consortium trial of selumetinib (MEKi) demonstrates low tolerability and efficacy in relapsed DLBCL.",true
"The evolution of dip-pen nanolithography.",true
"The role of cytidine deaminases on innate immune responses against human viral infections.",true
"Raman dye-labeled nanoparticle probes for proteins.",true
"Real-time multicolor DNA detection with chemoresponsive diffraction gratings and nanoparticle probes.",true
"Fine-tuning the weak-link approach: effect of ligand electron density on the formation of rhodium(I) and iridium(I) metallomacrocycles.",true
"Nanoparticle-based bio-bar codes for the ultrasensitive detection of proteins.",true
"Direct-write dip-pen nanolithography of proteins on modified silicon oxide surfaces.",true
"A phase I dose-escalation study of TAK-733, an investigational oral MEK inhibitor, in patients with advanced solid tumors.",true
"Endothelial dysfunction and systemic hypertension by selective cGMP-dependent protein kinase I inhibition using novel cell-penetrating peptide delivered in vivo.",false
"Rh(II) and Rh(I) two-legged piano-stool complexes: structure, reactivity, and electronic properties.",true
"NCCN Guidelines Insights: Chronic Lymphocytic Leukemia/Small Lymphocytic Leukemia, Version 1.2017.",true
"Protein nanostructures formed via direct-write dip-pen nanolithography.",true
"What controls the melting properties of DNA-linked gold nanoparticle assemblies?",true
"Antileukemic Properties of HMG-CoA Reductase Inhibitors.",true
"Advances in brain metastases presented at the American Society of Clinical Oncology 2016 Annual Meeting: Part II.",true
"Site-directed exchange studies with combinatorial libraries of nanostructures.",true
"Thermal desorption behavior and binding properties of DNA bases and nucleosides on gold.",true
"Advances in brain metastases presented at the American Society of Clinical Oncology 2016 Annual Meeting: Part I.",true
"Nanoparticles with Raman spectroscopic fingerprints for DNA and RNA detection.",true
"Recent advances and future directions in mantle cell lymphoma research: report of the 2016 mantle cell lymphoma consortium workshop.",true
"Threefold symmetric trimetallic macrocycles formed via the Weak-Link Approach.",true
"Bio-barcodes based on oligonucleotide-modified nanoparticles.",true
"Autophagy is a survival mechanism of acute myeloid leukemia precursors during dual mTORC2/mTORC1 targeting.",true
"Muscle torques in total knee arthroplasty with subvastus and parapatellar approaches.",false
"Multiple thiol-anchor capped DNA-gold nanoparticle conjugates.",true
"Array-based electrical detection of DNA with nanoparticle probes.",true
"Moving beyond molecules: patterning solid-state features via dip-pen nanolithography with sol-based inks.",true
"Recommendations for Clinical Trial Development in Follicular Lymphoma.",true
"Adherence to Multiple Medications in Older Adults with Asthma.",true
"Protein nanoarrays generated by dip-pen nanolithography.",true
"Accuracy of transesophageal echocardiography in the identification of postoperative intramural ventricular septal defects.",true
"Predictors of competing mortality in advanced head and neck cancer.",true
"Tunneling Electrical Connection to the Interior of Metal-Organic Frameworks.",true
"alpha-Catenin homodimers are recruited to phosphoinositide-activated membranes to promote adhesion.",true
"Head and neck cancers.",true
"Induction chemotherapy and concurrent chemoradiotherapy for locoregionally advanced head and neck cancer: a multi-institutional phase II trial investigating three radiotherapy dose levels.",true
"Cardiomyocytes of the Heart and Pulmonary Veins: Novel Contributors to Asthma?",true
"Hydrodynamic Gene Delivery of CC Chemokine Binding Fc Fusion Proteins to Target Acute Vascular Inflammation In Vivo.",true
"Co-existence of PML-RARalpha and BCR-ABL in Acute Promyelocytic Leukemia (APL).",true
"NCCN Task Force Report. prevention and management of mucositis in cancer care.",true
"Nuclear alpha-catenin mediates the DNA damage response via beta-catenin and nuclear actin.",true
"Phase I/II trial of total lymphoid irradiation and high-dose chemotherapy with autologous stem-cell transplantation for relapsed and refractory Hodgkin's lymphoma.",true
"High survival and organ function rates after primary chemoradiotherapy for intermediate-stage squamous cell carcinoma of the head and neck treated in a multicenter phase II trial.",true
"Head and neck cancers.",true
"Twice-daily reirradiation for recurrent and second primary head-and-neck cancer with gemcitabine, paclitaxel, and 5-fluorouracil chemotherapy.",true
"Review of current methods, applications, and data management for the bioinformatics analysis of whole exome sequencing.",true
"Phase I study of concomitant chemoradiotherapy with paclitaxel, fluorouracil, gemcitabine, and twice-daily radiation in patients with poor-prognosis cancer of the head and neck.",true
"Patterns of failure, prognostic factors and survival in locoregionally advanced head and neck cancer treated with concomitant chemoradiotherapy: a 9-year, 337-patient, multi-institutional experience.",true
"Neck dissection in the combined-modality therapy of patients with locoregionally advanced head and neck cancer.",true
"Differences Are Important: Breast Cancer Therapy in Different Ethnic Groups.",true
"Regulation of the kinase RSK1 by arsenic trioxide and generation of antileukemic responses.",true
"Enforcement of a lifespan-sustaining distribution of Sir2 between telomeres, mating-type loci, and rDNA repeats by Rif1.",true
"Competing causes of death and second primary tumors in patients with locoregionally advanced head and neck cancer treated with chemoradiotherapy.",true
"RESILIENCE: Phase III Randomized, Double-Blind Trial Comparing Sorafenib With Capecitabine Versus Placebo With Capecitabine in Locally Advanced or Metastatic HER2-Negative Breast Cancer.",true
"Induction chemotherapy followed by concomitant TFHX chemoradiotherapy with reduced dose radiation in advanced head and neck cancer.",true
"Concurrent chemoradiotherapy for N2 or N3 squamous cell carcinoma of the head and neck from an occult primary.",true
"Acute myeloid leukemia: potential for new therapeutic approaches targeting mRNA translation pathways.",true
"Multicenter randomized Phase II study of paclitaxel (1-hour infusion), fluorouracil, hydroxyurea, and concomitant twice daily radiation with or without erythropoietin for advanced head and neck cancer.",true
"New Approaches to Endocrine Therapy for Breast Cancer.",true
